t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok,node_id
355,-3.8881010909090907,1.5726197272727271,0.0,235.1818181818182,5179.909090909091,0.07204748909090909,16.454545454545453,65.0909090909091,0.0,0.0,247.64400000000313,0.0,35.0,262.0,355,2,1.0,True,29.0
356,-3.8811191818181814,1.5860146363636363,0.08856555272727272,277.1818181818182,6138.363636363636,0.0498299890909091,27.454545454545453,64.63636363636364,61.63636363636363,115.0909090909091,274.1039999999979,0.0,35.0,266.0,356,2,1.0,True,29.0
357,-3.7586963636363637,1.5673396363636365,0.1748106,276.45454545454544,6120.818181818182,-0.058048836363636364,27.636363636363637,64.54545454545455,144.54545454545453,205.0909090909091,298.72800000001155,0.0,35.0,266.0,357,2,1.0,True,29.0
358,-3.659535454545455,1.4909269090909092,0.0,231.36363636363637,5094.454545454545,-0.1169673909090909,21.09090909090909,65.45454545454545,0.0,0.0,244.54800000000105,0.0,35.0,266.0,358,2,1.0,True,29.0
359,-3.656559090909091,1.4072541818181818,0.0,231.36363636363637,5095.0,-0.11478835454545454,20.636363636363637,65.45454545454545,0.0,0.0,244.47599999998639,0.0,35.0,266.0,359,2,1.0,True,29.0
360,-3.676636909090909,1.347165818181818,0.0,231.36363636363637,5095.545454545455,-0.10538312727272726,32.72727272727273,65.45454545454545,0.0,0.0,246.7800000000105,0.0,35.0,266.0,360,2,1.0,True,29.0
361,-3.6687840833333336,1.3321478333333332,0.0,233.83333333333334,5151.166666666667,-0.11248756666666666,46.5,65.41666666666667,0.0,0.0,247.93199999998325,0.0,35.0,266.0,361,2,1.0,True,29.0
362,-3.6507735000000006,1.3350625,0.0636009,276.5,6116.0,-0.08977598,50.5,64.5,91.0,36.0,145.36800000001676,0.0,35.0,266.0,362,2,1.0,True,29.0
363,-3.421245916666667,1.3292611666666667,0.24649775,295.3333333333333,6534.25,0.07025182166666667,31.583333333333332,64.0,289.25,203.25,315.14400000000313,0.0,35.0,266.0,363,2,1.0,True,29.0
364,-3.1737634999999997,1.29493675,0.27744735,296.3333333333333,6568.333333333333,0.16946430833333334,28.416666666666668,64.0,299.0,255.75,316.15199999999896,0.0,35.0,342.0,364,2,1.0,True,29.0
365,-2.893686363636364,1.274155090909091,0.28878550909090905,295.3636363636364,6539.727272727273,0.22019692727272727,30.181818181818183,64.0,299.0,278.09090909090907,316.5480000000011,0.0,35.0,350.0,365,2,1.0,True,28.0
366,-2.6369936,1.2673522,0.29635036000000003,294.2,6525.2,0.25268696,37.4,64.0,298.6,294.0,313.41599999999164,0.0,35.0,354.0,366,2,1.0,True,27.0
367,-2.345833727272727,1.2683377272727272,0.2979901454545455,291.45454545454544,6464.454545454545,0.2605949454545455,42.72727272727273,64.18181818181819,296.6363636363636,299.0,311.4360000000073,0.0,35.0,354.0,367,2,1.0,True,31.0
368,-2.1407973636363633,1.2559041818181818,0.16413632636363637,285.6363636363636,6336.454545454545,0.14442951818181818,42.54545454545455,64.36363636363636,37.18181818181818,291.1818181818182,306.4679999999906,0.0,35.0,234.0,368,2,1.0,True,31.0
369,-2.0922595000000004,1.1665170833333334,0.07753351916666666,282.0833333333333,6256.916666666667,-0.44459017500000003,48.75,64.5,-66.91666666666667,222.0,299.051999999999,0.0,35.0,214.0,369,2,1.0,True,32.0
370,-2.0873809999999997,1.049102,0.1416662,289.0,6407.5,-0.864723,64.5,64.0,-12.0,295.0,153.10799999999583,0.0,35.0,214.0,370,2,1.0,True,32.0
371,-2.0972139999999997,0.9350570666666668,0.10433524166666668,254.25,5620.0,-1.2417025,19.25,64.91666666666667,34.166666666666664,174.41666666666666,280.83600000000735,0.0,35.0,214.0,371,2,1.0,True,32.0
372,-2.166335,0.9918826583333332,0.0,231.25,5101.916666666667,-1.2879639999999999,11.416666666666666,65.0,0.0,0.0,247.5,0.0,35.0,214.0,372,2,1.0,True,32.0
