t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
13,-2.8248485454545453,8.562108636363636,0.1556665090909091,282.8181818181818,6364.272727272727,0.24610878909090908,93.18181818181819,61.0,298.6363636363636,12.909090909090908,303.47999999995807,0.0,2.0,276.0,13,1,1.0,True
14,-2.720095,8.625162999999999,0.14272975000000002,285.0,6416.5,0.6819286,87.5,61.0,299.0,-14.0,150.12000000004193,0.0,2.0,276.0,14,1,1.0,True
15,-2.6586439166666667,8.740662916666667,0.16329189166666666,285.5,6433.25,1.2435049166666665,91.0,61.0,299.0,26.833333333333332,307.0799999999581,0.0,2.0,276.0,15,1,1.0,True
16,-2.6520533636363637,8.931316363636364,0.22361834545454548,295.0,6646.454545454545,1.5858734545454547,94.18181818181819,61.0,267.3636363636364,179.8181818181818,312.4800000000629,0.0,2.0,8.0,16,1,1.0,True
17,-2.655410272727273,9.180232545454546,0.2778792,294.27272727272725,6632.363636363636,1.581084,97.27272727272727,61.0,256.1818181818182,299.0,312.83999999997906,0.0,2.0,8.0,17,1,1.0,True
18,-2.6541704999999998,9.43777775,0.29715865,292.25,6588.25,1.5548327499999999,97.75,61.0,296.75,297.0,314.27999999995814,0.0,2.0,8.0,18,1,1.0,True
19,-2.6508040833333335,9.735952833333334,0.29673322500000004,293.8333333333333,6623.75,1.5612023333333334,98.83333333333333,61.0,299.0,294.25,307.8,0.0,2.0,8.0,19,1,1.0,True
20,-2.6513221666666666,10.031960666666667,0.2970877666666667,291.1666666666667,6566.166666666667,1.5691721666666665,98.83333333333333,61.0,299.0,294.6666666666667,307.439999999979,0.0,2.0,8.0,20,1,1.0,True
21,-2.6516563636363633,10.308078181818182,0.2973714,289.0,6516.454545454545,1.5755733636363636,100.0,61.0,299.0,295.0,310.3200000000419,0.0,2.0,8.0,21,1,1.0,True
22,-2.6539250909090906,10.582492727272728,0.2980675090909091,289.54545454545456,6526.818181818182,1.5833704545454546,98.9090909090909,61.0,299.0,296.6363636363636,158.4,0.0,2.0,4.0,22,1,1.0,True
23,-2.649789818181818,10.87744909090909,0.2973326727272727,291.0,6562.727272727273,1.592540090909091,99.0,61.0,299.0,294.90909090909093,307.4399999999791,0.0,2.0,4.0,23,1,1.0,True
24,-2.6563026,11.18294,0.29911563,290.9,6564.1,1.5968101000000001,99.9,61.0,299.0,298.7,312.12000000004195,0.0,2.0,4.0,24,1,1.0,True
25,-2.660064333333333,11.432278333333334,0.2992858,290.3333333333333,6547.166666666667,1.5986993333333333,100.0,61.0,299.0,299.0,308.51999999993717,0.0,2.0,4.0,25,1,1.0,True
26,-2.6679092727272726,11.740131818181817,0.29915044545454544,290.72727272727275,6566.181818181818,1.5990845454545453,100.0,61.0,299.0,299.0,311.04000000008386,0.0,2.0,4.0,26,1,1.0,True
27,-2.672362,11.988239090909092,0.27493993636363634,291.27272727272725,6570.0,1.5748481818181816,99.63636363636364,61.0,250.63636363636363,299.0,306.0,0.0,2.0,30.0,27,1,1.0,True
28,-2.649511833333333,12.199518333333332,0.1579741,285.6666666666667,6432.666666666667,1.2793365,95.0,61.0,16.5,299.0,305.27999999995814,0.0,2.0,30.0,28,1,1.0,True
29,-2.585196818181818,12.289342727272727,0.12410777272727272,284.8181818181818,6420.363636363636,0.7945158909090909,88.45454545454545,61.0,-43.0,291.1818181818182,308.52000000004193,0.0,2.0,30.0,29,1,1.0,True
30,-2.4800162727272728,12.342435454545454,0.1573682090909091,287.72727272727275,6483.272727272727,0.19779388181818183,92.81818181818181,61.0,16.272727272727273,298.09090909090907,151.91999999993715,0.0,2.0,30.0,30,1,1.0,True
31,-2.3416350833333333,12.3603775,0.12805264166666666,284.25,6400.416666666667,0.15449674916666667,80.41666666666667,61.0,219.41666666666666,37.0,302.76000000002097,0.0,2.0,30.0,31,1,1.0,True
32,-2.2411315454545457,12.428402727272726,0.10225649090909092,285.27272727272725,6416.454545454545,0.6736312545454546,91.45454545454545,61.0,276.45454545454544,-71.72727272727273,301.6799999999581,0.0,2.0,30.0,32,1,1.0,True
33,-2.2046401818181818,12.507187272727272,0.1310306181818182,285.27272727272725,6424.090909090909,1.2020225272727272,91.72727272727273,61.0,284.8181818181818,-23.272727272727273,305.64000000008383,0.0,2.0,30.0,33,1,1.0,True
34,-2.1973581818181818,12.672107272727272,0.22431449090909092,295.45454545454544,6665.454545454545,1.6622902727272726,95.18181818181819,61.0,266.27272727272725,182.1818181818182,308.1599999999162,0.0,2.0,30.0,34,1,1.0,True
35,-2.2071715,12.918535,0.2697188,293.5833333333333,6619.166666666667,1.60712875,96.66666666666667,61.0,240.75,298.75,315.36000000002093,0.0,2.0,30.0,35,1,1.0,True
36,-2.2136068333333334,13.169058333333332,0.2966623,293.1666666666667,6605.166666666667,1.5495335,96.83333333333333,61.0,295.0,298.5,309.2399999999791,0.0,2.0,30.0,36,1,1.0,True
37,-2.2173265,13.439446666666667,0.29705229166666663,291.5833333333333,6574.333333333333,1.5463945,93.33333333333333,61.0,299.0,294.8333333333333,315.0,0.0,2.0,30.0,37,1,1.0,True
38,-2.212663090909091,13.725124545454547,0.29628846363636363,291.27272727272725,6565.545454545455,1.5577860909090908,92.54545454545455,61.0,299.0,293.45454545454544,156.24000000008382,0.0,2.0,34.0,38,1,1.0,True
39,-2.206451181818182,14.05835,0.2971393090909091,288.6363636363636,6508.545454545455,1.5750387272727273,96.45454545454545,61.0,299.0,294.45454545454544,311.4,0.0,2.0,34.0,39,1,1.0,True
40,-2.204621909090909,14.292491818181817,0.29675254545454544,290.27272727272725,6548.363636363636,1.5832150909090907,96.63636363636364,61.0,299.0,294.09090909090907,309.2399999999791,0.0,2.0,34.0,40,1,1.0,True
41,-2.2132893333333334,14.589316666666667,0.29857673333333334,294.1666666666667,6631.0,1.5840895,96.0,61.0,299.0,297.8333333333333,312.83999999997906,0.0,2.0,34.0,41,1,1.0,True
42,-2.2187532500000002,14.8615425,0.2984349,291.5,6579.0,1.58446775,95.0,61.0,299.0,297.5,310.3200000000419,0.0,2.0,34.0,42,1,1.0,True
43,-2.2298317272727273,15.15792181818182,0.29872496363636364,291.27272727272725,6563.545454545455,1.5829751818181819,93.81818181818181,61.0,299.0,298.72727272727275,308.8799999999581,0.0,2.0,34.0,43,1,1.0,True
44,-2.2323374545454544,15.398639090909091,0.29876365454545456,291.90909090909093,6582.181818181818,1.586288,92.27272727272727,61.0,298.45454545454544,298.8181818181818,313.560000000021,0.0,2.0,34.0,44,1,1.0,True
45,-2.2363126363636363,15.72247,0.29868632727272726,294.1818181818182,6635.0,1.588203818181818,89.36363636363636,61.0,299.0,298.09090909090907,308.5199999999371,0.0,2.0,34.0,45,1,1.0,True
46,-2.2402024999999997,15.991559999999998,0.29864765,295.5,6661.0,1.59075,91.5,61.0,299.0,298.0,155.88000000006286,0.0,2.0,34.0,46,1,1.0,True
