t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
944,-2.652500818181818,10.478714545454546,0.29760343636363634,287.27272727272725,6554.545454545455,1.5796783636363636,100.0,58.45454545454545,299.0,295.54545454545456,154.8,0.0,1.0,8.0,944,1,1.0,True
945,-2.6482915,10.782855,0.29737135000000003,288.5,6590.0,1.59086,99.0,58.0,299.0,295.5,307.44000000008384,0.0,1.0,4.0,945,1,1.0,True
946,-2.650659545454545,11.03715909090909,0.29814488181818183,290.1818181818182,6625.090909090909,1.5975464545454547,99.9090909090909,58.0,299.0,296.90909090909093,308.51999999993717,0.0,1.0,4.0,946,1,1.0,True
947,-2.657845,11.332371666666667,0.2990731,288.1666666666667,6575.166666666667,1.5998856666666665,100.0,58.5,299.0,299.0,306.36000000002093,0.0,1.0,4.0,947,1,1.0,True
948,-2.6670905833333336,11.642688333333334,0.2990731,288.5,6598.083333333333,1.59834825,100.0,58.0,299.0,299.0,311.76000000002097,0.0,1.0,4.0,948,1,1.0,True
949,-2.6700394545454547,11.88871090909091,0.2970619909090909,288.72727272727275,6592.727272727273,1.5989897272727271,99.81818181818181,58.18181818181818,299.0,295.0,306.0,0.0,1.0,4.0,949,1,1.0,True
950,-2.6914510000000003,12.141685,0.1990275,279.6666666666667,6376.666666666667,1.7635115,97.33333333333333,58.833333333333336,299.0,98.5,298.0799999999581,0.0,1.0,190.0,950,1,1.0,True
951,-2.7496575454545455,12.277991818181818,0.13315772727272726,281.72727272727275,6437.090909090909,2.2321839999999997,95.81818181818181,58.54545454545455,299.0,-32.72727272727273,304.560000000021,0.0,1.0,190.0,951,1,1.0,True
952,-2.8550606666666667,12.337839166666667,0.15492524166666666,280.6666666666667,6412.333333333333,2.8476785000000002,86.75,58.5,299.0,10.75,299.52000000004193,0.0,1.0,190.0,952,1,1.0,True
953,-2.9941721818181817,12.340952727272729,0.1765896090909091,285.54545454545456,6524.454545454545,0.3204926363636364,89.9090909090909,58.45454545454545,201.72727272727272,151.0,146.8799999999581,0.0,1.0,190.0,953,1,1.0,True
954,-3.148388727272727,12.36062,0.12360499090909091,283.90909090909093,6484.636363636364,2.248127363636364,98.27272727272727,58.45454545454545,-40.27272727272727,287.0,305.2799999999581,0.0,1.0,190.0,954,1,1.0,True
955,-3.225051833333333,12.428973333333333,0.11302098333333332,282.5,6450.166666666667,2.266990333333333,87.83333333333333,58.166666666666664,-51.5,278.0,300.96000000002095,0.0,1.0,190.0,955,1,1.0,True
956,-3.2372106666666665,12.554879166666666,0.15481885,283.8333333333333,6477.5,1.7595161666666665,58.583333333333336,58.583333333333336,16.5,292.8333333333333,300.96000000002095,0.0,1.0,190.0,956,1,1.0,True
957,-3.2290717499999997,12.770665000000001,0.245150575,291.75,6678.75,1.5791015,47.25,58.0,243.75,246.0,308.160000000021,0.0,1.0,190.0,957,1,1.0,True
958,-3.2151372727272727,13.010528181818183,0.2773378181818182,291.72727272727275,6668.0,1.636510181818182,40.27272727272727,58.0,299.0,255.1818181818182,312.11999999993714,0.0,1.0,190.0,958,1,1.0,True
959,-3.2183364166666664,13.273399166666666,0.28946558333333333,291.25,6656.833333333333,1.6649009166666666,55.666666666666664,58.0,299.0,279.5,306.360000000021,0.0,1.0,190.0,959,1,1.0,True
960,-3.236696454545455,13.512458181818182,0.2977968,290.3636363636364,6629.909090909091,1.6634537272727272,67.27272727272727,58.0,299.0,296.0,156.6,0.0,1.0,190.0,960,1,1.0,True
961,-3.274357454545455,13.813034545454544,0.29748736363636363,291.09090909090907,6650.0,1.636586090909091,87.63636363636364,58.0,298.54545454545456,296.27272727272725,308.160000000021,0.0,1.0,190.0,961,1,1.0,True
962,-3.2881758333333333,14.093175833333333,0.2975131583333333,290.0833333333333,6631.0,1.6338495833333333,96.91666666666667,58.0,295.3333333333333,299.0,311.40000000000003,0.0,1.0,194.0,962,1,1.0,True
963,-3.3017076666666667,14.386678333333334,0.2972295333333333,288.6666666666667,6600.333333333333,1.626272,99.0,58.0,294.6666666666667,299.0,310.32000000004194,0.0,1.0,194.0,963,1,1.0,True
964,-3.3149040833333334,14.652428333333333,0.29715864999999997,291.4166666666667,6672.0,1.6202120833333333,98.75,58.0,294.75,299.0,306.3599999999162,0.0,1.0,194.0,964,1,1.0,True
965,-3.3233237272727276,14.938714545454546,0.2972553272727273,290.54545454545456,6644.0,1.6132096363636363,98.0,58.0,296.27272727272725,298.27272727272725,311.76000000002097,0.0,1.0,194.0,965,1,1.0,True
966,-3.3285858333333334,15.214185,0.29822224999999997,288.5,6596.5,1.6127675000000001,94.83333333333333,58.0,298.3333333333333,297.6666666666667,309.6,0.0,1.0,194.0,966,1,1.0,True
967,-3.3405673636363633,15.51895090909091,0.29667523636363635,287.3636363636364,6563.272727272727,1.6075093636363638,93.0909090909091,58.0,297.27272727272725,295.72727272727275,308.52000000004193,0.0,1.0,194.0,967,1,1.0,True
968,-3.35816225,15.816528333333332,0.29790315,290.25,6629.0,1.6005515,88.25,58.0,296.6666666666667,299.0,307.0799999999581,0.0,1.0,194.0,968,1,1.0,True
969,-3.366711,16.09505,0.29907305,293.0,6705.5,1.5962210000000001,87.0,58.0,298.5,299.0,155.88000000006286,0.0,1.0,194.0,969,1,1.0,True
970,-3.37642875,16.359765833333334,0.29910855,290.5,6645.25,1.5914281666666668,87.5,58.0,299.0,299.0,309.2399999999791,0.0,1.0,194.0,970,1,1.0,True
971,-3.382513833333333,16.647364999999997,0.29843491666666666,285.8333333333333,6529.5,1.5943826666666665,86.5,58.0,297.5,299.0,306.36000000002093,0.0,1.0,194.0,971,1,1.0,True
972,-3.3805059090909086,16.92724909090909,0.29884104545454543,286.45454545454544,6556.454545454545,1.6013909090909093,91.36363636363636,58.0,298.45454545454544,299.0,306.0,0.0,1.0,38.0,972,1,1.0,True
973,-3.3880105,17.2308575,0.2992858,292.0,6673.75,1.6012052499999998,96.5,58.0,299.0,299.0,309.6,0.0,1.0,42.0,973,1,1.0,True
974,-3.3975111818181816,17.527586363636363,0.2987636454545454,291.72727272727275,6661.636363636364,1.6003193636363635,97.72727272727273,58.0,298.27272727272725,299.0,309.6,0.0,1.0,154.0,974,1,1.0,True
975,-3.4037453636363635,17.788645454545456,0.2991504090909091,289.1818181818182,6609.727272727273,1.5997787272727273,98.63636363636364,58.0,298.6363636363636,299.0,307.8,0.0,1.0,142.0,975,1,1.0,True
976,-3.4096757272727274,18.06138,0.2990731,290.45454545454544,6650.818181818182,1.5990119999999999,97.36363636363636,58.0,299.0,299.0,157.31999999993715,0.0,1.0,146.0,976,1,1.0,True
977,-3.4184852727272728,18.347875454545456,0.29868632727272726,289.1818181818182,6613.272727272727,1.5956724545454544,95.0,58.0,299.0,298.09090909090907,307.8,0.0,1.0,70.0,977,1,1.0,True
978,-3.421272416666667,18.652468333333335,0.29900219166666664,292.25,6680.666666666667,1.599577,96.33333333333333,58.0,299.0,298.8333333333333,312.4800000000629,0.0,1.0,70.0,978,1,1.0,True
